"filename", "language", "Ignore", "Python", "YAML", "JSON", "JavaScript", "JSON with Comments", "PostCSS", "TypeScript", "HTML", "MS SQL", "comment", "blank", "total"
"c:\TrabajoChambee\Proyecto-Chambee\.dockerignore", "Ignore", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\TrabajoChambee\Proyecto-Chambee\backend\package-lock.json", "JSON", 0, 0, 0, 1337, 0, 0, 0, 0, 0, 0, 0, 1, 1338
"c:\TrabajoChambee\Proyecto-Chambee\backend\package.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\TrabajoChambee\Proyecto-Chambee\backend\server.js", "JavaScript", 0, 0, 0, 0, 1464, 0, 0, 0, 0, 0, 162, 279, 1905
"c:\TrabajoChambee\Proyecto-Chambee\database\schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 33, 265
"c:\TrabajoChambee\Proyecto-Chambee\docker-compose.yaml", "YAML", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\TrabajoChambee\Proyecto-Chambee\frontend\angular.json", "JSON", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 3, 103
"c:\TrabajoChambee\Proyecto-Chambee\frontend\chambee_db.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 413, 0, 0, 413
"c:\TrabajoChambee\Proyecto-Chambee\frontend\package-lock.json", "JSON", 0, 0, 0, 13326, 0, 0, 0, 0, 0, 0, 0, 1, 13327
"c:\TrabajoChambee\Proyecto-Chambee\frontend\package.json", "JSON", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\app.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 3, 117
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\carousel\carousel.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\carousel\carousel.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\carousel\carousel.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\carousel\carousel.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 3, 27
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\footer\footer.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\footer\footer.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\footer\footer.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\footer\footer.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\job-card\job-card.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\job-card\job-card.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\job-card\job-card.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\job-card\job-card.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 3, 27
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\job-list\job-list.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\job-list\job-list.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\job-list\job-list.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\job-list\job-list.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\navbarForms\navbar.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\navbarForms\navbar.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\navbarForms\navbar.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\navbarForms\navbar.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\services-sidebar\services-sidebar.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\services-sidebar\services-sidebar.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\services-sidebar\services-sidebar.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\components\services-sidebar\services-sidebar.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\interceptors\auth.interceptor.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 5, 18
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\interceptors\auth.interceptor.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 10, 40
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\borrador-servicio\borrador-servicio.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 421, 0, 0, 0, 0, 64, 485
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\borrador-servicio\borrador-servicio.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 3, 20, 197
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\borrador-servicio\borrador-servicio.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\borrador-servicio\borrador-servicio.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 3, 36, 259
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\crear-servicio\crear-servicio.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 359, 0, 0, 0, 5, 64, 428
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\crear-servicio\crear-servicio.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 5, 26, 200
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\crear-servicio\crear-servicio.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 6, 24, 187
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employer-job-create\employer-job-create.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 510, 0, 0, 0, 2, 87, 599
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employer-job-create\employer-job-create.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 35, 265
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employer-job-create\employer-job-create.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 378, 0, 0, 0, 52, 430
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employer-jobs-manage\employer-jobs-manage.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 476, 0, 0, 0, 0, 81, 557
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employer-jobs-manage\employer-jobs-manage.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 277, 0, 2, 37, 316
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employer-jobs-manage\employer-jobs-manage.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 437, 0, 0, 2, 70, 509
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employer-profile-edit\employer-profile-edit.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 589, 0, 0, 0, 0, 101, 690
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employer-profile-edit\employer-profile-edit.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 1, 37, 270
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employer-profile-edit\employer-profile-edit.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 326, 0, 0, 8, 60, 394
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employer-profile\employer-profile.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 701, 0, 0, 0, 2, 123, 826
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employer-profile\employer-profile.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 194, 0, 4, 21, 219
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employer-profile\employer-profile.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 308, 0, 0, 6, 47, 361
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employerRegister\employerRegister.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 7, 20, 163
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employerRegister\employerRegister.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 12, 110
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employerRegister\employerRegister.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\employerRegister\employerRegister.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 8, 21, 167
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\forgot-password\forgot-password.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 9, 22, 176
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\forgot-password\forgot-password.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 2, 6, 58
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\forgot-password\forgot-password.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\forgot-password\forgot-password.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 16, 81
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\home-employer\home-employer.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 903, 0, 0, 0, 23, 155, 1081
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\home-employer\home-employer.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 255, 0, 1, 32, 288
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\home-employer\home-employer.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\home-employer\home-employer.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 346, 0, 0, 33, 52, 431
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\home-user\home-user.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1053, 0, 0, 0, 25, 185, 1263
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\home-user\home-user.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 428, 0, 5, 65, 498
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\home-user\home-user.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\home-user\home-user.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 425, 0, 0, 5, 68, 498
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\home\home.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 904, 0, 0, 0, 32, 158, 1094
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 311, 0, 33, 43, 387
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 2, 28, 222
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\job-detail\job-detail.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 415, 0, 0, 0, 14, 67, 496
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\job-detail\job-detail.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 2, 17, 181
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\job-detail\job-detail.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 7, 61
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\job-detail\job-detail.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 319, 0, 0, 2, 55, 376
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\job-preferences\job-preferences.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 11, 16, 122
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\job-preferences\job-preferences.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 1, 10, 58
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\job-preferences\job-preferences.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\job-preferences\job-preferences.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 11, 93
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\login\login.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 12, 30, 270
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 10, 83
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 5, 15, 126
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\mis-favoritos\mis-favoritos.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 416, 0, 0, 0, 0, 63, 479
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\mis-favoritos\mis-favoritos.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 17, 135
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\mis-favoritos\mis-favoritos.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 28, 197
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\perfil-postulante-editar\perfil-postulante-editar.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 560, 0, 0, 0, 21, 92, 673
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\perfil-postulante-editar\perfil-postulante-editar.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 276, 0, 0, 39, 315
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\perfil-postulante-editar\perfil-postulante-editar.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\perfil-postulante-editar\perfil-postulante-editar.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 356, 0, 0, 12, 56, 424
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\perfil-postulante\perfil-postulante.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 848, 0, 0, 0, 15, 147, 1010
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\perfil-postulante\perfil-postulante.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 264, 0, 1, 32, 297
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\perfil-postulante\perfil-postulante.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\perfil-postulante\perfil-postulante.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 358, 0, 0, 3, 63, 424
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\register\register.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 7, 23, 166
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 2, 24, 137
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\register\register.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 4, 27, 156
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\reset-password\reset-password.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 4, 17, 160
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\reset-password\reset-password.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 3, 16, 106
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\reset-password\reset-password.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 6, 40
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\reset-password\reset-password.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 34, 156
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\services\api.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\services\api.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 1, 37, 165
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\services\auth.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\services\auth.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 2, 16, 69
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\services\servicios.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 9, 11, 107
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\services\theme.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 2, 13, 66
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\assets\sepomex_gto.json", "JSON", 0, 0, 0, 71556, 0, 0, 0, 0, 0, 0, 0, 0, 71556
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 2, 47, 332
"c:\TrabajoChambee\Proyecto-Chambee\frontend\tsconfig.app.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\TrabajoChambee\Proyecto-Chambee\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 2, 35
"c:\TrabajoChambee\Proyecto-Chambee\frontend\tsconfig.spec.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\TrabajoChambee\Proyecto-Chambee\package-lock.json", "JSON", 0, 0, 0, 1241, 0, 0, 0, 0, 0, 0, 0, 1, 1242
"c:\TrabajoChambee\Proyecto-Chambee\package.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\TrabajoChambee\Proyecto-Chambee\scratch\check_html.py", "Python", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 64
"Total", "-", 6, 43, 52, 87679, 1464, 32, 9327, 5730, 3590, 645, 546, 3423, 112537